,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
361,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,71
362,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,71
363,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,71
364,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,72
365,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,72
366,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,72
367,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,72
368,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,73
369,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,73
370,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,73
371,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,73
372,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,73
