,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
360,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,105
361,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,106
362,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,106
363,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,106
364,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,107
365,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,107
366,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,107
367,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,107
368,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,108
369,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,108
370,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,109
371,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,109
372,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,109
373,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,110
